code,areaName,ukBorn,nonUkBorn,totPopulation,POI,year
E12000006,East,5390705,944369,6335074,14.91,2021
E12000004,East Midlands,4210674,669382,4880056,13.72,2021
E12000007,London,5223986,3575742,8799728,40.63,2021
E12000001,North East,2467870,179143,2647013,6.77,2021
E12000002,North West,6551993,865404,7417397,11.67,2021
E12000008,South East,7815950,1462115,9278065,15.76,2021
E12000009,South West,5119492,581694,5701186,10.2,2021
W92000004,Wales,2892064,215430,3107494,6.93,2021
E12000005,West Midlands,5048322,902435,5950757,15.17,2021
E12000003,Yorkshire and The Humber,4858514,622260,5480774,11.35,2021
